date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:25:57	173/173	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2005%20Jan%202023%2010:25:55%20GMT	https://teslaxmas.net/robots.txt		(from )
05:25:57	29117/29117	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Jan%202023%2010:25:56%20GMT	https://teslaxmas.net/	C:/My%20Web%20Sites/teslaxmas%20net/teslaxmas.net/index.html	(from )
05:25:58	38638/38638	---MCZ	200	added ('OK')	text/css	etag:W/%2296ee-5f17a7e9c3ae6%22	https://teslaxmas.net/css/styles.css	C:/My%20Web%20Sites/teslaxmas%20net/teslaxmas.net/css/styles.css	(from https://teslaxmas.net/)
05:25:58	15406/15406	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%223c2e-5f17a7e878a39%22	https://teslaxmas.net/favicon.ico	C:/My%20Web%20Sites/teslaxmas%20net/teslaxmas.net/favicon.ico	(from https://teslaxmas.net/)
05:25:58	19355/19355	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263ac4229-4b9b%22	https://www.smartsuppchat.com/loader.js?	C:/My%20Web%20Sites/teslaxmas%20net/www.smartsuppchat.com/loaderd41d.js	(from https://teslaxmas.net/)
05:25:59	196/196	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2005%20Jan%202023%2010:25:57%20GMT	https://teslaxmas.net/index.html	C:/My%20Web%20Sites/teslaxmas%20net/teslaxmas.net/index-2.html	(from https://teslaxmas.net/)
05:25:59	2134/2134	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22856-5f17a7ea7f2c9%22	https://teslaxmas.net/fonts/logo.svg	C:/My%20Web%20Sites/teslaxmas%20net/teslaxmas.net/fonts/logo.svg	(from https://teslaxmas.net/)
05:26:00	749/749	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%222ed-5f17a7ea1e7f8%22	https://teslaxmas.net/fonts/check.svg	C:/My%20Web%20Sites/teslaxmas%20net/teslaxmas.net/fonts/check.svg	(from https://teslaxmas.net/)
05:26:00	92428/92428	---M--	200	added ('OK')	image/png	etag:%221690c-5f17a7ed62676%22	https://teslaxmas.net/images/elon.png	C:/My%20Web%20Sites/teslaxmas%20net/teslaxmas.net/images/elon.png	(from https://teslaxmas.net/)
05:26:01	10617/10617	---M--	200	added ('OK')	text/javascript	etag:%22cad45ee72e57299bcaea1bfedf469d96%22	https://s3.tradingview.com/external-embedding/embed-widget-mini-symbol-overview.js	C:/My%20Web%20Sites/teslaxmas%20net/s3.tradingview.com/external-embedding/embed-widget-mini-symbol-overview.js	(from https://teslaxmas.net/)
05:26:01	755/755	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%222f3-5f17a7ea5cfee%22	https://teslaxmas.net/fonts/graph.svg	C:/My%20Web%20Sites/teslaxmas%20net/teslaxmas.net/fonts/graph.svg	(from https://teslaxmas.net/)
05:26:01	2396/2396	---M--	200	added ('OK')	image/png	etag:%2295c-5f17a7ee0d4bc%22	https://teslaxmas.net/images/pulse.png	C:/My%20Web%20Sites/teslaxmas%20net/teslaxmas.net/images/pulse.png	(from https://teslaxmas.net/)
05:26:01	2883/2883	---M--	200	added ('OK')	image/png	etag:%22b43-5f17a7efc4bb8%22	https://teslaxmas.net/images/safe.png	C:/My%20Web%20Sites/teslaxmas%20net/teslaxmas.net/images/safe.png	(from https://teslaxmas.net/)
05:26:02	137935/137935	---M--	200	added ('OK')	image/png	etag:%2221acf-5f17a7f14a5dc%22	https://teslaxmas.net/images/work.png	C:/My%20Web%20Sites/teslaxmas%20net/teslaxmas.net/images/work.png	(from https://teslaxmas.net/)
05:26:02	32903/32903	---M--	200	added ('OK')	image/png	etag:%228087-5f17a7eef6af8%22	https://teslaxmas.net/images/r1.png	C:/My%20Web%20Sites/teslaxmas%20net/teslaxmas.net/images/r1.png	(from https://teslaxmas.net/)
05:26:03	19650/19650	---M--	200	added ('OK')	image/png	etag:%224cc2-5f17a7ef8b1e1%22	https://teslaxmas.net/images/r2.png	C:/My%20Web%20Sites/teslaxmas%20net/teslaxmas.net/images/r2.png	(from https://teslaxmas.net/)
05:26:03	196/196	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2005%20Jan%202023%2010:26:02%20GMT	https://teslaxmas.net/assets/img/rules_logo.svg	C:/My%20Web%20Sites/teslaxmas%20net/teslaxmas.net/assets/img/rules_logo.svg	(from https://teslaxmas.net/)
05:26:03	4708/4708	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221264-5f17a7ea47831%22	https://teslaxmas.net/fonts/cursor.svg	C:/My%20Web%20Sites/teslaxmas%20net/teslaxmas.net/fonts/cursor.svg	(from https://teslaxmas.net/)
05:26:03	1091/1091	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22443-5f17a7e9e6d60%22	https://teslaxmas.net/fonts/b1.svg	C:/My%20Web%20Sites/teslaxmas%20net/teslaxmas.net/fonts/b1.svg	(from https://teslaxmas.net/)
05:26:04	242/242	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22f2-5f17a7ea0421c%22	https://teslaxmas.net/fonts/b2.svg	C:/My%20Web%20Sites/teslaxmas%20net/teslaxmas.net/fonts/b2.svg	(from https://teslaxmas.net/)
05:26:04	22195/22195	---M--	200	added ('OK')	image/png	etag:%2256b3-5f17a7edd0c05%22	https://teslaxmas.net/images/footer.png	C:/My%20Web%20Sites/teslaxmas%20net/teslaxmas.net/images/footer.png	(from https://teslaxmas.net/)
05:26:04	1800/1800	---MCZ	200	added ('OK')	application/javascript	etag:W/%22708-5f17a7f285c8b%22	https://teslaxmas.net/js/main.js	C:/My%20Web%20Sites/teslaxmas%20net/teslaxmas.net/js/main.js	(from https://teslaxmas.net/)
05:26:05	89983/89983	---MCZ	200	added ('OK')	application/javascript	etag:W/%2215f7f-5f17a7f2a21a6%22	https://teslaxmas.net/js/jquery-3.6.0.min.js	C:/My%20Web%20Sites/teslaxmas%20net/teslaxmas.net/js/jquery-3.6.0.min.js	(from https://teslaxmas.net/)
05:26:06	40043/40043	---M--	200	added ('OK')	image/png	etag:%229c6b-5f17a7f018b6b%22	https://teslaxmas.net/images/starship.png	C:/My%20Web%20Sites/teslaxmas%20net/teslaxmas.net/images/starship.png	(from https://teslaxmas.net/css/styles.css)
05:26:06	210282/210282	---M--	200	added ('OK')	image/png	etag:%223356a-5f17a7ef1dbf2%22	https://teslaxmas.net/images/back.png	C:/My%20Web%20Sites/teslaxmas%20net/teslaxmas.net/images/back.png	(from https://teslaxmas.net/css/styles.css)
05:26:06	18861/18861	---M--	200	added ('OK')	image/png	etag:%2249ad-5f17a7ef93e80%22	https://teslaxmas.net/images/rules_back.png	C:/My%20Web%20Sites/teslaxmas%20net/teslaxmas.net/images/rules_back.png	(from https://teslaxmas.net/css/styles.css)
